id,seller_id,latitude,longitude,datetime,created_at,updated_at
74,3,7.1312268,-73.1297613,2020-07-06 10:37:07,2020-07-06 10:37:07,2020-07-06 10:37:07
75,1,7.1296663,-73.1220316,2020-07-06 10:37:20,2020-07-06 10:37:20,2020-07-06 10:37:20
76,21,4.14542,-73.5866767,2020-07-06 10:37:35,2020-07-06 10:37:35,2020-07-06 10:37:35
77,1,7.1296663,-73.1220316,2020-07-06 10:37:36,2020-07-06 10:37:36,2020-07-06 10:37:36
78,3,7.131217,-73.1297564,2020-07-06 10:37:37,2020-07-06 10:37:37,2020-07-06 10:37:37
79,1,7.1296492,-73.1219741,2020-07-06 10:37:51,2020-07-06 10:37:51,2020-07-06 10:37:51
80,21,4.14542,-73.5866767,2020-07-06 10:38:04,2020-07-06 10:38:04,2020-07-06 10:38:04
82,3,7.13123,-73.1297636,2020-07-06 10:38:15,2020-07-06 10:38:15,2020-07-06 10:38:15
83,1,7.1296603,-73.1220501,2020-07-06 10:38:21,2020-07-06 10:38:21,2020-07-06 10:38:21
84,3,7.1312231,-73.1297599,2020-07-06 10:38:42,2020-07-06 10:38:42,2020-07-06 10:38:42
86,1,7.1296603,-73.1220502,2020-07-06 10:38:51,2020-07-06 10:38:51,2020-07-06 10:38:51
87,34,3.4931064,-76.4952295,2020-07-06 10:38:51,2020-07-06 10:38:51,2020-07-06 10:38:51
88,3,7.1312231,-73.1297599,2020-07-06 10:38:54,2020-07-06 10:38:54,2020-07-06 10:38:54
89,3,7.1312245,-73.1297617,2020-07-06 10:39:12,2020-07-06 10:39:12,2020-07-06 10:39:12
90,3,7.1312245,-73.1297617,2020-07-06 10:39:20,2020-07-06 10:39:20,2020-07-06 10:39:20
91,1,7.1296654,-73.1219867,2020-07-06 10:39:22,2020-07-06 10:39:22,2020-07-06 10:39:22
92,3,7.1312234,-73.1297617,2020-07-06 10:39:43,2020-07-06 10:39:43,2020-07-06 10:39:43
93,1,7.1296809,-73.1220371,2020-07-06 10:39:52,2020-07-06 10:39:52,2020-07-06 10:39:52
94,3,7.1312237,-73.1297611,2020-07-06 10:40:13,2020-07-06 10:40:13,2020-07-06 10:40:13
95,3,7.1312237,-73.1297611,2020-07-06 10:40:21,2020-07-06 10:40:21,2020-07-06 10:40:21
96,1,7.1296825,-73.1220399,2020-07-06 10:40:22,2020-07-06 10:40:22,2020-07-06 10:40:22
97,3,7.1312231,-73.12976,2020-07-06 10:40:43,2020-07-06 10:40:43,2020-07-06 10:40:43
98,1,7.1296879,-73.1220654,2020-07-06 10:40:52,2020-07-06 10:40:52,2020-07-06 10:40:52
99,3,7.1312193,-73.1297612,2020-07-06 10:41:13,2020-07-06 10:41:13,2020-07-06 10:41:13
100,1,7.1296879,-73.1220654,2020-07-06 10:41:23,2020-07-06 10:41:23,2020-07-06 10:41:23
101,3,7.1312209,-73.1297557,2020-07-06 10:41:44,2020-07-06 10:41:44,2020-07-06 10:41:44
102,34,3.493089,-76.4952391,2020-07-06 10:41:51,2020-07-06 10:41:51,2020-07-06 10:41:51
103,1,7.1296879,-73.1220654,2020-07-06 10:41:54,2020-07-06 10:41:54,2020-07-06 10:41:54
104,3,7.131221,-73.1297562,2020-07-06 10:42:14,2020-07-06 10:42:14,2020-07-06 10:42:14
105,1,7.1296886,-73.1220235,2020-07-06 10:42:24,2020-07-06 10:42:24,2020-07-06 10:42:24
106,1,7.1296886,-73.1220235,2020-07-06 10:42:36,2020-07-06 10:42:36,2020-07-06 10:42:36
107,3,7.1312227,-73.1297589,2020-07-06 10:42:44,2020-07-06 10:42:44,2020-07-06 10:42:44
108,1,7.1297032,-73.1220801,2020-07-06 10:42:55,2020-07-06 10:42:55,2020-07-06 10:42:55
109,3,7.1312226,-73.1297581,2020-07-06 10:43:20,2020-07-06 10:43:20,2020-07-06 10:43:20
110,1,7.1297027,-73.1220815,2020-07-06 10:43:24,2020-07-06 10:43:24,2020-07-06 10:43:24
111,3,7.1312004,-73.1297557,2020-07-06 10:43:50,2020-07-06 10:43:50,2020-07-06 10:43:50
